CÓDIGO,CÓDIGO PROVEEDOR,CLASIFICACIÓN,DESCRIPCIÓN,PESENTACIÓN,CATEGORIA ABASTECIMIENTO, REFERENCIA CONSUMO UNITARIO ANUAL 2019,CANTIDAD VENDIDA HS AÑO 2019,ABC,Marca Ofertada,Precio  unitario ofertado paraComplejo Uruca,% descuento,DESCUENTO,IVA,PRECIO FINAL,Columna1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M05001,60040005,,ACEITE MINERAL SOLUCIÓN ORAL,FRASCO DE 200 A 240 ML,Almacenable,2636,595,C,Chemo," ₡3,337.00 ",20%, 667.40 ,13%,3016.65,ACEITE MINERAL CHEMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04005,50520937,Críticos,ACETAMINOFEN 1000 MG (10 MG/10 ML).FRASCO AMPOLLA 100 ML ,Frasco 100mL,Transito,3619,,B,MK," ₡64,226.85 ",25%," 16,056.71 ",2%,49133.54,PARACONICA ACI 1000 IV PO 10*100 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01001,10010026,,ACETAMINOFEN 500 MG ,Tableta unitario,Almacenable,2104812,230800,A,GENFAR, ₡30.00 ,30%, 9.00 ,2%,21.42,ACETAMINOFEN GENFAR 500MG * 100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09002,10040009,Críticos,ACETAMINOFEN JARABE 120MG/5ML,Frasco 60-120mL,Z,1309,238,B,GENFAR," ₡1,570.00 ",25%, 392.50 ,2%,1201.05,ACETAMINOFEN GENFAR JARABE 60ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08003,no disponible,,ACETAZOLAMIDA 250MG ,Tableta unitario,Almacenable,11888,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX003,10010031,,ACICLOVIR 400 MG ,Tableta unitario,No Lom,214,11960,C,LISAN, ₡925.00 ,20%, 185.00 ,2%,754.80,ACICLOVIR LISAN 400MG * 20 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09007,16070006,,ACICLOVIR UNGUENTO OFTALMICO,Tubo máximo 10g,Z,3,,C,," ₡20,685.00 ",20%," 4,137.00 ",2%,16878.96,SOPHIVIR UNGUENTO OFTALMICO 3% X 7 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09338,no disponible,,ACIDO ACETICO 2% + MICONAZOL 2% GOTAS OTICAS,Frasco gotero max 15mL,Z,11,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01003,10010107,Críticos,"ÁCIDO ACETIL SALICÍLICO 100 MG
TABLETAS",Tableta unitario,Almacenable,4978,24300,C,BAYER, ₡82.00 ,20%, 16.40 ,2%,66.91,ASPIRINA FORTE * 100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04002,no disponible,Críticos,ACIDO AMINOCAPROICO ,Frasco,Transito,138,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01007,10010035,,ACIDO FOLICO 1 MG / TABLETA ,Tableta unitario,Z,2005,15780,B,RAVEN, ₡117.00 ,25%, 29.25 ,2%,89.51,ACIDO FOLICO RAVEN  1MG  *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX004,10010033,,ÁCIDO FÓLICO 5MG TABLETA,Tableta unitario,No Lom,0,11730,C,RAVEN, ₡173.00 ,20%, 34.60 ,2%,141.17,ACIDO FOLICO RAVEN 5MG  * 30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02064,16130001,,"ÁCIDO FUSIDICO 2%
CREMA",Crema 15-20g,Almacenable,10439,51,B,GENFAR," ₡5,715.00 ",25%," 1,428.75 ",2%,4371.98,ACIDO FUSIDICO GENFAR 15 GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
