ARTICULO,NOMBRE_ARTICULO, PRECIO COSTO , precio 4% , Precio Ofrecido sin IVA , PRECIO 20% , PRECIO 30% , PRECIO 40% ,PRECIO 50%,PRECIO 60%,PRECIO 80%,PRECIO 100%,Cost per Drug,Profit Margin 
10070025,*D* MIR COLIRIO 10 ML ALCAMES," ₡1,188.00 "," ₡1,235.52 "," ₡1,366.20 "," ₡1,425.60 "," ₡1,544.40 "," ₡1,663.20 "," ₡1,782.00 "," ₡1,900.80 "," ₡2,138.40 "," ₡2,376.00 "," ₡2,791.80 ", (0.81)
10050087,AB-COLIC GOTAS 8ML," ₡12,088.50 "," ₡12,572.04 "," ₡13,901.78 "," ₡14,506.20 "," ₡15,715.05 "," ₡16,923.90 "," ₡18,132.75 "," ₡19,341.60 "," ₡21,759.30 "," ₡24,177.00 "," ₡28,407.98 ", (0.81)
10010024,ABRILAR EFERVECENTE 64MG *10 TABLETAS," ₡6,323.01 "," ₡6,575.93 "," ₡7,271.46 "," ₡7,587.61 "," ₡8,219.91 "," ₡8,852.21 "," ₡9,484.52 "," ₡10,116.82 "," ₡11,381.42 "," ₡12,646.02 "," ₡14,859.07 ", (0.81)
60130001,ACEITE CAMIBAR LACOFA 60ML, ₡738.94 , ₡768.50 , ₡849.78 , ₡886.73 , ₡960.62 ," ₡1,034.52 "," ₡1,108.41 "," ₡1,182.30 "," ₡1,330.09 "," ₡1,477.88 "," ₡1,736.51 ", (0.81)
40426346,ACEITE DE ARIZONA RESTAURADOR MARTA KAUFMAN 30ML," ₡5,672.57 "," ₡5,899.47 "," ₡6,523.46 "," ₡6,807.08 "," ₡7,374.34 "," ₡7,941.60 "," ₡8,508.86 "," ₡9,076.11 "," ₡10,210.63 "," ₡11,345.14 "," ₡13,330.54 ", (0.81)
60130169,ACEITE DE COCO 430ML ECOCO," ₡6,300.88 "," ₡6,552.92 "," ₡7,246.01 "," ₡7,561.06 "," ₡8,191.14 "," ₡8,821.23 "," ₡9,451.32 "," ₡10,081.41 "," ₡11,341.58 "," ₡12,601.76 "," ₡14,807.07 ", (0.81)
60130170,ACEITE DE COCO 905ML ECOCO," ₡14,323.01 "," ₡14,895.93 "," ₡16,471.46 "," ₡17,187.61 "," ₡18,619.91 "," ₡20,052.21 "," ₡21,484.52 "," ₡22,916.82 "," ₡25,781.42 "," ₡28,646.02 "," ₡33,659.07 ", (0.81)
40410029,ACEITE MENTA MASAJE 250ML," ₡3,181.42 "," ₡3,308.68 "," ₡3,658.63 "," ₡3,817.70 "," ₡4,135.85 "," ₡4,453.99 "," ₡4,772.13 "," ₡5,090.27 "," ₡5,726.56 "," ₡6,362.84 "," ₡7,476.34 ", (0.81)
40410732,ACEITE MICELAR BIFASICO BABE 270ML," ₡7,039.82 "," ₡7,321.41 "," ₡8,095.79 "," ₡8,447.78 "," ₡9,151.77 "," ₡9,855.75 "," ₡10,559.73 "," ₡11,263.71 "," ₡12,671.68 "," ₡14,079.64 "," ₡16,543.58 ", (0.81)
60040037,ACEITE MINERAL 60 ML QUIFLO, ₡526.55 , ₡547.61 , ₡605.53 , ₡631.86 , ₡684.52 , ₡737.17 , ₡789.83 , ₡842.48 , ₡947.79 ," ₡1,053.10 "," ₡1,237.39 ", (0.81)
60040043,ACEITE MINERAL QUIFLO GALON," ₡13,606.19 "," ₡14,150.44 "," ₡15,647.12 "," ₡16,327.43 "," ₡17,688.05 "," ₡19,048.67 "," ₡20,409.29 "," ₡21,769.90 "," ₡24,491.14 "," ₡27,212.38 "," ₡31,974.55 ", (0.81)
80820043,ACEITE OLIVA 1/4," ₡1,429.20 "," ₡1,486.37 "," ₡1,643.58 "," ₡1,715.04 "," ₡1,857.96 "," ₡2,000.88 "," ₡2,143.80 "," ₡2,286.72 "," ₡2,572.56 "," ₡2,858.40 "," ₡3,358.62 ", (0.81)
40410027,ACEITE P/ MASAJES FRESA  250ML," ₡3,181.42 "," ₡3,308.68 "," ₡3,658.63 "," ₡3,817.70 "," ₡4,135.85 "," ₡4,453.99 "," ₡4,772.13 "," ₡5,090.27 "," ₡5,726.56 "," ₡6,362.84 "," ₡7,476.34 ", (0.81)
40410030,ACEITE P/ MASAJES S/FRANGAN/HIPO 250ML," ₡3,084.07 "," ₡3,207.43 "," ₡3,546.68 "," ₡3,700.88 "," ₡4,009.29 "," ₡4,317.70 "," ₡4,626.11 "," ₡4,934.51 "," ₡5,551.33 "," ₡6,168.14 "," ₡7,247.56 ", (0.81)
40410031,ACEITE SANDIA P/ MASAJES 250ML," ₡3,181.42 "," ₡3,308.68 "," ₡3,658.63 "," ₡3,817.70 "," ₡4,135.85 "," ₡4,453.99 "," ₡4,772.13 "," ₡5,090.27 "," ₡5,726.56 "," ₡6,362.84 "," ₡7,476.34 ", (0.81)
40426344,ACEITE SECO BELLEZA RECONSTITUYENTE  MARTA KAUFMAN," ₡6,504.42 "," ₡6,764.60 "," ₡7,480.08 "," ₡7,805.30 "," ₡8,455.75 "," ₡9,106.19 "," ₡9,756.63 "," ₡10,407.07 "," ₡11,707.96 "," ₡13,008.84 "," ₡15,285.39 ", (0.81)
10010039,ACEPRESS 300MG * 14 TABLETAS," ₡9,147.06 "," ₡9,512.94 "," ₡10,519.12 "," ₡10,976.47 "," ₡11,891.18 "," ₡12,805.88 "," ₡13,720.59 "," ₡14,635.30 "," ₡16,464.71 "," ₡18,294.12 "," ₡21,495.59 ", (0.81)
